those are checkers , DET VERB NOUN
perhaps he uses his oar to push out from the shore , ADV PRON VERB DET NOUN PRT VERB PRT ADP DET NOUN
you are the doctor , PRON VERB DET NOUN
i am afraid you will forget and throw that , PRON VERB ADJ PRON VERB VERB CONJ VERB PRON
here are two little cars , ADV VERB NUM ADJ NOUN
we have_to put this one up higher , PRON ADV VERB DET NOUN PRT ADJ
i tried very hard , PRON VERB ADV ADJ
here it is , ADV PRON VERB
i am not going to tell you , PRON VERB ADV VERB PRT VERB PRON
only put one in at a time , ADV VERB NUM ADP ADP DET NOUN
you do not throw sticks , PRON VERB ADV VERB NOUN
you do not have any more flat tires , PRON VERB ADV VERB DET ADJ ADJ NOUN
you tell me , PRON VERB PRON
that does look like an a , PRON VERB VERB ADP DET DET
let us put those in first , VERB PRON VERB DET ADP ADJ
this is for big boys , DET VERB ADP ADJ NOUN
i do not think that is very nice , PRON VERB ADV VERB PRON VERB ADV ADJ
that is the kind of mask you wear under water , PRON VERB DET NOUN ADP NOUN PRON VERB ADP NOUN
there is a cow , PRT VERB DET NOUN
do not cry paul , VERB ADV ADJ NOUN
in this box , ADP DET NOUN
i do not think there is anything in there , PRON VERB ADV VERB PRT VERB NOUN ADP PRT
i think so , PRON VERB ADV
we better put a cup under there , PRON ADV VERB DET NOUN ADP PRT
that is pretty adam , PRON VERB ADJ NOUN
toward the light , ADP DET NOUN
pay me seven , VERB PRON NUM
he lost his sail , PRON VERB DET NOUN
you said seven , PRON VERB NUM
that is a pretty color , PRON VERB DET ADJ NOUN
i thought you had seen one of those before , PRON VERB PRON VERB VERB NUM ADP DET ADP
i do not believe that is the truth , PRON VERB ADV VERB PRON VERB DET NOUN
you only gave me four , PRON ADV VERB PRON NUM
he just has a few of them , PRON ADV VERB DET ADJ ADP PRON
let us throw some things away , VERB PRON VERB DET NOUN ADV
let us see if i can get it out this time , VERB PRON VERB ADP PRON VERB VERB PRON ADP DET NOUN
just as long as i am holding him , ADV ADV ADJ ADP PRON VERB VERB PRON
careful do not pull it so hard , ADJ VERB ADV VERB PRON ADV ADJ
not by himself , ADV ADP PRON
you gave me four dollars , PRON VERB PRON NUM NOUN
that is very pretty , PRON VERB ADV ADJ
a dick tracy car , DET NOUN NOUN NOUN
you should have given me seven , PRON VERB VERB VERB PRON NUM
give me seven now , VERB PRON VERB ADV
they are singing , PRON VERB VERB
i will give you the four back , PRON VERB VERB PRON DET NUM ADV
they are singing , PRON VERB VERB
count them out , VERB PRON PRT
paul look here , NOUN VERB ADV
i do not know you will have_to ask her , PRON VERB ADV VERB PRON VERB NOUN VERB PRON
i do not know if there is a whole set or not , PRON VERB ADV VERB ADP PRT VERB DET ADJ NOUN CONJ ADV
stay on the paper adam , VERB ADP DET NOUN NOUN
it is to draw , PRON VERB PRT VERB
i will go get some , PRON VERB VERB VERB DET
perhaps the wind blows the boat over , ADV DET NOUN VERB DET NOUN PRT
all these toys , PRT DET NOUN
i had like a boat pie , PRON VERB ADP DET NOUN NOUN
you need paper , PRON VERB NOUN
there is something else here to look at , PRT VERB NOUN ADV ADV PRT VERB ADP
she wo not have any to give to robin and david , PRON VERB ADV VERB DET PRT VERB ADP NOUN CONJ NOUN
i looked for it at home too , PRON VERB ADP PRON ADP NOUN ADV
we walked and paul was in the stroller , PRON VERB CONJ NOUN VERB ADP DET NOUN
i am sorry , PRON VERB ADJ
i thought it was ready , PRON VERB PRON VERB ADJ
it must be lost someplace , PRON VERB VERB VERB NOUN
he can not walk , PRON VERB ADV VERB
just write with it , ADV VERB ADP PRON
he is too heavy for mommy to carry , PRON VERB ADV ADJ ADP NOUN PRT VERB
then you can not use your car anymore , ADV PRON VERB ADV VERB DET NOUN ADV
that is just the shadow of you and the slide , PRON VERB ADV DET NOUN ADP PRON CONJ DET NOUN
it is a bunny rabbit , PRON VERB DET ADJ NOUN
this is orange , DET VERB ADJ
that is a ranch , PRON VERB DET NOUN
except we do not call that a banjo , ADP PRON VERB ADV VERB ADP DET NOUN
that is red , PRON VERB ADJ
that will be enough , PRON VERB VERB ADV
i am not going to tell you , PRON VERB ADV VERB PRT VERB PRON
that is for shaving , PRON VERB ADP VERB
to erase on the typewriter , PRT VERB ADP DET NOUN
you blow it , PRON VERB PRON
it is not for eating , PRON VERB ADV ADP VERB
now i feel all better , ADV PRON VERB PRT ADV
be careful that you do not cut your fingers with that , VERB ADJ ADP PRON VERB ADV VERB DET NOUN ADP DET
he has a book , PRON VERB DET NOUN
he just wants to keep them for you , PRON ADV VERB PRT VERB PRON ADP PRON
one red and two orange , NUM ADJ CONJ NUM NOUN
if you turn it that way it looks like something to me , ADP PRON VERB PRON ADP NOUN PRON VERB ADP NOUN ADP PRON
this is hard to do , DET VERB ADJ PRT VERB
the cream that you put on there , DET NOUN ADP PRON VERB ADP PRT
i do not think that is a banjo , PRON VERB ADV VERB PRON VERB DET NOUN
you can only use one thing at a time , PRON VERB ADV VERB NUM NOUN ADP DET NOUN
i am not going to tell you because you saw it too , PRON VERB ADV VERB PRT VERB PRON ADP PRON VERB PRON ADV
here is a gas station , ADV VERB DET NOUN NOUN
did you have a ride on your boat today , VERB PRON VERB DET NOUN ADP DET NOUN NOUN
this is the stand for the gas station , DET VERB DET NOUN ADP DET NOUN NOUN
watch your fingers , VERB DET NOUN
let us get back up on the paper , VERB PRON VERB ADV PRT ADP DET NOUN
i do not think i had want anything now , PRON VERB ADV VERB PRON VERB VERB NOUN ADV
you do not need another , PRON VERB ADV VERB DET
you used it all , PRON VERB PRON PRT
i was speaking to adam , PRON VERB VERB ADP NOUN
you blow it out , PRON VERB PRON PRT
put it in the play+pen so paul wo not get it , VERB PRON ADP DET NOUN ADP NOUN ADV ADV VERB PRON
then maybe that is enough , ADV ADV PRON VERB ADV
paul you are just not cooperative , NOUN PRON VERB ADV ADV ADJ
i do not know , PRON VERB ADV VERB
here is one adam that you had like to see , ADV VERB NUM NOUN ADP PRON VERB ADP PRT VERB
here is a , ADV VERB DET
i am not a man , PRON VERB ADV DET NOUN
you will have lots_of gas , PRON VERB VERB ADJ NOUN
it is a water show , PRON VERB DET NOUN VERB
that one is about italy , DET NOUN VERB ADP NOUN
you do not mean razor blades , PRON VERB ADV ADJ NOUN NOUN
that is a new one , PRON VERB DET ADJ NUM
paul does not like for me to put it on , NOUN VERB ADV ADP ADP PRON PRT VERB PRON ADP
because you did not have it down in there properly i guess , ADP PRON VERB ADV VERB PRON PRT ADP ADV ADV PRON VERB
paul saw some nice things , NOUN VERB DET ADJ NOUN
let paul see , VERB NOUN VERB
begins with a , VERB ADP DET
i will start it for you , PRON VERB VERB PRON ADP PRON
i do not know , PRON VERB ADV VERB
you do not seem to remember , PRON VERB ADV VERB PRT VERB
you can do it on the floor too adam , PRON VERB VERB PRON ADP DET NOUN ADV NOUN
he is going to think that that is mommy , PRON VERB VERB PRT VERB ADP PRON VERB NOUN
let us look at that one , VERB PRON VERB ADP DET NUM
you excused me from the table , PRON VERB PRON ADP DET NOUN
you were standing and he took the picture , PRON VERB VERB CONJ PRON VERB DET NOUN
i do not know , PRON VERB ADV VERB
i do not know , PRON VERB ADV VERB
i do not think he wants it on adam , PRON VERB ADV VERB PRON VERB PRON ADP NOUN
here is one , ADV VERB NUM
if you do it faster you can see it change colors , ADP PRON VERB PRON VERB PRON VERB VERB PRON VERB NOUN
that had be a nice one to show ursula , PRON VERB VERB DET ADJ NUM PRT VERB NOUN
that is an electric shaver , PRON VERB DET ADJ NOUN
i got it started adam , PRON VERB PRON VERB NOUN
this is the one about italy , DET VERB DET NUM ADP NOUN
it was an animal , PRON VERB DET NOUN
that is for decoration , PRON VERB ADP NOUN
we went to the boston common , PRON VERB ADP DET NOUN NOUN
that is you on your birthday , PRON VERB PRON ADP DET NOUN
go back rinny , VERB ADV ADJ
that is black , PRON VERB ADJ
let paul play with this while you play with something else , VERB NOUN VERB ADP DET ADP PRON VERB ADP NOUN ADV
one at a time , NUM ADP DET NOUN
adam you look like you are breaking out with something , NOUN PRON VERB ADP PRON VERB VERB PRT ADP NOUN
you need it to fly the plane , PRON VERB PRON PRT VERB DET NOUN
it is already black , PRON VERB ADV ADJ
show it to ursula , VERB PRON ADP NOUN
on your forehead , ADP DET NOUN
it is like a foot rest , PRON VERB ADP DET NOUN NOUN
now fold the other one back , ADV VERB DET ADJ NUM ADV
across your nose , ADP DET NOUN
you can make all sorts of things with these , PRON VERB VERB PRT NOUN ADP NOUN ADP DET
see he stands up by himself , VERB PRON VERB PRT ADP PRON
you just saw this one , PRON ADV VERB DET NUM
it must have come from another one , PRON VERB VERB VERB ADP DET NUM
he does not seem to be very concerned , PRON VERB ADV VERB PRT VERB ADV VERB
this is the one about arizona , DET VERB DET NUM ADP NOUN
you can bend it in any direction , PRON VERB VERB PRON ADP DET NOUN
you can not do them all at once adam , PRON VERB ADV VERB PRON PRT ADP ADV NOUN
let ursula look at you , VERB NOUN VERB ADP PRON
paul woke up last night and was just playing in his bed , NOUN VERB PRT ADJ NOUN CONJ VERB ADV VERB ADP DET NOUN
he tries to ate this , PRON VERB PRT VERB DET
then you could not see anything , ADV PRON VERB ADV VERB NOUN
i guess not , PRON VERB ADV
i do not know , PRON VERB ADV VERB
you can take this whole page off , PRON VERB VERB DET ADJ NOUN PRT
this is about israel , DET VERB ADP NOUN
put it on a , VERB PRON ADP DET
go let ursula look at it , VERB VERB NOUN VERB ADP PRON
we have a cub_scout named israel , PRON VERB DET NOUN VERB NOUN
this goes on the bus , DET VERB ADP DET NOUN
just push this down , ADV VERB DET PRT
this the country , DET DET NOUN
you can not wash paint until it dries , PRON VERB ADV ADJ NOUN ADP PRON VERB
you went out at nursery school , PRON VERB PRT ADP NOUN NOUN
that was an accident , PRON VERB DET NOUN
the paint all on your hands , DET NOUN PRT ADP DET NOUN
i should hope not , PRON VERB VERB ADV
i was playing , PRON VERB VERB
you take another color , PRON VERB DET NOUN
awoh not yet , ADV ADV ADV
i will change , PRON VERB NOUN
i was xxx , PRON VERB NOUN
here is one for you , ADV VERB NUM ADP PRON
you take this , PRON VERB DET
i was xxx , PRON VERB NOUN
do not take it apart diandra , VERB ADV VERB PRON ADV NOUN
so you are all finished , ADP PRON VERB PRT VERB
you could crayon in that book , PRON VERB NOUN ADP DET NOUN
this is about utah , DET VERB ADP NOUN
here is one , ADV VERB NUM
you are building a house , PRON VERB VERB DET NOUN
now do not do that again , ADV VERB ADV VERB PRON ADV
this is paul , DET VERB NOUN
we need a scissors , PRON VERB DET NOUN
you wo not see anything , PRON VERB ADV VERB NOUN
i was talking to paul just then , PRON VERB VERB ADP NOUN ADV ADV
that had be very funny , PRON VERB VERB ADV ADJ
i think the scissors are upstairs , PRON VERB DET NOUN VERB ADV
i will help you finish the bus , PRON VERB VERB PRON VERB DET NOUN
you almost did , PRON ADV VERB
these are nice adam , DET VERB ADJ NOUN
i see something up here , PRON VERB NOUN PRT ADV
if you say the magic word , ADP PRON VERB DET ADJ NOUN
you might break it adam , PRON VERB VERB PRON NOUN
so_that we wo not hear the noise from out there , DET PRON VERB ADV VERB DET NOUN ADP PRT PRT
you had a string in your hair , PRON VERB DET NOUN ADP DET NOUN
let us look at this one , VERB PRON VERB ADP DET NUM
here are some of the other kind if you want , ADV VERB DET ADP DET ADJ NOUN ADP PRON VERB
i need the directions adam , PRON VERB DET NOUN NOUN
you did not say the magic word yet , PRON VERB ADV VERB DET ADJ NOUN ADV
you only put one in at a time , PRON ADV VERB NUM ADP ADP DET NOUN
i was giving it to you , PRON VERB VERB PRON ADP PRON
you paint with a paint brush , PRON VERB ADP DET NOUN NOUN
this is about holland michigan , DET VERB ADP NOUN NOUN
there are some flowers here that you have seen before , PRT VERB DET NOUN ADV ADP PRON VERB VERB ADP
i thought perhaps if you looked you could tell me , PRON VERB ADV ADP PRON VERB PRON VERB VERB PRON
it is part of it , PRON VERB NOUN ADP PRON
diandra come over here , NOUN VERB PRT ADV
i see something , PRON VERB NOUN
that is not finger paint , PRON VERB ADV ADJ NOUN
this is a flower , DET VERB DET NOUN
that is water color , PRON VERB NOUN NOUN
use your brush honey , VERB DET NOUN NOUN
we will finish the bus , PRON VERB VERB DET NOUN
i do not know , PRON VERB ADV VERB
i did not go anyplace , PRON VERB ADV VERB NOUN
arts festival last year , NOUN NOUN ADJ NOUN
the ones in front are the same color , DET NOUN ADP NOUN VERB DET ADJ NOUN
you could make a pair of glasses , PRON VERB VERB DET NOUN ADP NOUN
there is not enough instructions for me , PRT VERB ADV ADJ NOUN ADP PRON
that is another bronze , PRON VERB DET NOUN
you can always take them apart and make something different , PRON VERB ADV VERB PRON ADV CONJ VERB NOUN ADJ
here is a book we could read , ADV VERB DET NOUN PRON VERB VERB
you are silly , PRON VERB ADV
i think so , PRON VERB ADV
it says do it like this , PRON VERB VERB PRON ADP DET
that rhymes with it , DET NOUN ADP PRON
he said winner , PRON VERB NOUN
and then you let it go like that , CONJ ADV PRON VERB PRON VERB ADP DET
and the monkey , CONJ DET NOUN
a toy house , DET NOUN NOUN
i wo not bite , PRON VERB ADV ADJ
she had like to see that one , PRON VERB ADP PRT VERB ADP NUM
here is something i think you will like adam , ADV VERB NOUN PRON VERB PRON VERB ADP NOUN
let us not throw things , VERB PRON ADV VERB NOUN
that is the way , PRON VERB DET NOUN
they are building a fair , PRON VERB VERB DET ADJ
he is feeling better , PRON VERB VERB ADJ
i think you will like that , PRON VERB PRON VERB ADP DET
here is the parade , ADV VERB DET NOUN
maybe he is hungry , ADV PRON VERB ADJ
she is giving you one , PRON VERB VERB PRON NUM
i do not think so , PRON VERB ADV VERB ADV
in a parade , ADP DET NOUN
they do not feel like snow , PRON VERB ADV VERB ADP NOUN
let us see if we see the king , VERB PRON VERB ADP PRON VERB DET NOUN
part that goes across there , NOUN PRON VERB ADP PRT
you got it in , PRON VERB PRON ADP
do not pull , VERB ADV ADJ
a bike has a back like that , DET NOUN VERB DET NOUN ADP DET
i am not , PRON VERB ADV
you will break it , PRON VERB VERB PRON
i am sure i can not either , PRON VERB ADJ PRON VERB ADV CONJ
it is not snow , PRON VERB ADV NOUN
there are lots_of other pieces around , PRT VERB ADV ADJ NOUN ADP
it will dry out , PRON VERB ADJ PRT
maybe he is already there , ADV PRON VERB ADV ADV
i do not want to look at bozo , PRON VERB ADV VERB PRT VERB ADP NOUN
that is nice , PRON VERB ADJ
do not do that , VERB ADV VERB PRON
go over there so you wo not jump on us , VERB PRT ADV ADP PRON VERB ADV VERB ADP PRON
just paint your truck now , ADV VERB DET NOUN ADV
i had like to watch the friendly giant , PRON VERB ADP PRT VERB DET ADJ NOUN
you just paint that , PRON ADV VERB PRON
it looks like it is made out_of paper , PRON VERB ADP PRON VERB VERB ADJ NOUN
i guess that will still fly , PRON VERB PRON VERB ADV ADV
it is a little misshapen circle , PRON VERB DET ADJ ADJ NOUN
the kangaroo house , DET NOUN NOUN
he is calling you , PRON VERB VERB PRON
put your pajamas the floor , VERB DET NOUN DET NOUN
you were telling me about a movie that you saw , PRON VERB VERB PRON ADP DET NOUN ADP PRON VERB
a little bit too big , DET ADJ NOUN ADV ADJ
let us take one , VERB PRON VERB NUM
i thought you said it was about somebody fighting something , PRON VERB PRON VERB PRON VERB ADP NOUN VERB NOUN
back up pilot , ADV PRT VERB
you can make a watch , PRON VERB VERB DET NOUN
that is a very good idea , PRON VERB DET ADV ADJ NOUN
some kind of fighter , DET NOUN ADP NOUN
that was not black , PRON VERB ADV ADJ
that was brown , PRON VERB ADJ
adam did you play hey_diddle_diddle , NOUN VERB PRON VERB NOUN
now you do the rest , ADV PRON VERB DET NOUN
come on diandra , VERB ADP NOUN
let us look in the basket , VERB PRON VERB ADP DET NOUN
i want xxx , PRON VERB NOUN
you are in my chair , PRON VERB ADP DET NOUN
i have some money , PRON VERB DET NOUN
we will take you out another day , PRON VERB VERB PRON ADP DET NOUN
you have_to drive slowly , PRON ADV VERB ADV
you painted it , PRON VERB PRON
you are supposed to move , PRON VERB VERB PRT VERB
he is got a whole bunch of packages in his pocket , PRON VERB VERB DET ADJ NOUN ADP NOUN ADP DET NOUN
now you have_to put it down and let it dry , ADV PRON ADV VERB PRON PRT CONJ VERB PRON ADJ
tall tall tower , ADJ ADJ NOUN
or else the bull will knock you down , CONJ ADV DET NOUN VERB VERB PRON PRT
because you took the plug out i see , ADP PRON VERB DET NOUN ADP PRON VERB
maybe one end could go on the drawer , ADV NUM NOUN VERB VERB ADP DET NOUN
i will show it to you , PRON VERB VERB PRON ADP PRON
i do not think i need money thank_you , PRON VERB ADV VERB PRON VERB NOUN PRON
it will fit , PRON VERB VERB
leave it in here adam , VERB PRON ADP ADV NOUN
let us put this back first , VERB PRON VERB DET ADV ADJ
say thank_you adam , VERB PRON NOUN
she left it for me , PRON VERB PRON ADP PRON
and a bottle and some feathers , CONJ DET NOUN CONJ DET NOUN
paul was trying to put that one in his shoe , NOUN VERB VERB PRT VERB ADP NUM ADP DET NOUN
you leave it on there , PRON VERB PRON ADP PRT
you can tie it go ahead , PRON VERB VERB PRON VERB ADV
it is a statue of a lion , PRON VERB DET NOUN ADP DET NOUN
we are going to a birthday party , PRON VERB VERB ADP DET NOUN NOUN
it is not a clock really it is a compass , PRON VERB ADV DET NOUN ADV PRON VERB DET NOUN
if you can not tie it maybe robin can tie it , ADP PRON VERB ADV VERB PRON ADV NOUN VERB VERB PRON
it is tucked inside there , PRON VERB VERB ADV ADV
it means that you like it and like to share it , PRON VERB ADP PRON VERB PRON CONJ ADP PRT VERB PRON
it is a driver license you want to see , PRON VERB DET NOUN NOUN PRON VERB PRT VERB
it tells you directions , PRON VERB PRON NOUN
it has on numbers that tell you north east south and west , PRON VERB ADP NOUN PRON VERB PRON NOUN NOUN NOUN CONJ NOUN
that is a camera , PRON VERB DET NOUN
adam told you not to tear it up , NOUN VERB PRON ADV PRT VERB PRON PRT
going to make a tent and go to that birthday party , VERB PRT VERB DET NOUN CONJ VERB ADP DET NOUN NOUN
do not stand so close , VERB ADV VERB ADV ADJ
and here is alexander , CONJ ADV VERB NOUN
i shared my book with you , PRON VERB DET NOUN ADP PRON
pick the animals up and throw them in , VERB DET NOUN PRT CONJ VERB PRON ADP
let us see , VERB PRON VERB
now maybe you could put a screw in that hole , ADV ADV PRON VERB VERB DET NOUN ADP DET NOUN
i do not know , PRON VERB ADV VERB
they are going deep sea diving , PRON VERB VERB ADJ NOUN VERB
ursula brought it for adam to play with , NOUN VERB PRON ADP NOUN PRT VERB ADP
here is the other one , ADV VERB DET ADJ NUM
you do not have a knight book , PRON VERB ADV VERB DET NOUN NOUN
that is a stamp , PRON VERB DET NOUN
especially airplanes because they do not have any roads to go on , ADV NOUN ADP PRON VERB ADV VERB DET NOUN PRT VERB PRT
there it is , ADV PRON VERB
until you wash it off , ADP PRON VERB PRON PRT
you are a silly , PRON VERB DET ADJ
they all put on diving suits , PRON PRT VERB PRT VERB NOUN
there is one over these , PRT VERB NUM ADP DET
this one going up to the top , DET NOUN VERB PRT ADP DET NOUN
look at it , VERB ADP PRON
your line is slipping down , DET NOUN VERB VERB PRT
i was looking , PRON VERB VERB
they go and have little something , PRON VERB CONJ VERB ADJ NOUN
put them up there , VERB PRON PRT PRT
you have_to come back , PRON ADV VERB ADV
it is a screw driver , PRON VERB DET NOUN NOUN
one dollars two dollars three four five , NUM NOUN NUM NOUN NUM NUM NUM
robin show him , NOUN VERB PRON
he can hold one , PRON VERB VERB NUM
wait boys let us not fight , VERB NOUN VERB PRON ADV VERB
we have_to go one after another , PRON ADV VERB NUM ADP DET
he wo not lose it , PRON VERB ADV VERB PRON
put it in from the back , VERB PRON ADP ADP DET ADV
i will throw that at you , PRON VERB VERB ADP ADP PRON
you did not give me enough , PRON VERB ADV VERB PRON ADV
there is another one , PRT VERB DET NUM
this is mine , DET VERB PRON
i said five , PRON VERB NUM
here is some paper , ADV VERB DET NOUN
maybe you could both work on this one , ADV PRON VERB DET NOUN ADP DET NUM
they are watching a puppet show , PRON VERB VERB DET NOUN VERB
here is a good pen , ADV VERB DET ADJ NOUN
these are puppets , DET VERB NOUN
because i do not know that much about fishing , ADP PRON VERB ADV VERB PRON ADV ADV VERB
it is good exercise for you , PRON VERB ADJ NOUN ADP PRON
these kangaroos are in there , DET NOUN VERB ADP PRT
this is a fix if you want yours in a particular place , DET VERB DET NOUN ADP PRON VERB PRON ADP DET ADJ NOUN
here is another one , ADV VERB DET NUM
you only gave me one dollar , PRON ADV VERB PRON NUM NOUN
that is a dragon , PRON VERB DET NOUN
do not tear the paper , VERB ADV VERB DET NOUN
his name is leonard lion , DET NOUN VERB NOUN NOUN
you do not have any , PRON VERB ADV VERB DET
the cat and the fiddle , DET NOUN CONJ DET NOUN
i do not know , PRON VERB ADV VERB
that was the last cranberry juice , PRON VERB DET ADJ NOUN NOUN
you left your pocketbook , PRON VERB DET NOUN
let him play with that , VERB PRON VERB ADP DET
i am not playing indian , PRON VERB ADV VERB ADJ
ursula tore it , NOUN VERB PRON
you touch mine , PRON VERB PRON
there is one in your hand , PRT VERB NUM ADP DET NOUN
you can really wear this , PRON VERB ADV VERB DET
in the forest , ADP DET NOUN
i am a nice guy , PRON VERB DET ADJ NOUN
i am a silly lady , PRON VERB DET ADJ NOUN
i did not buy any cranberries i bought some strawberries , PRON VERB ADV VERB DET NOUN PRON VERB DET NOUN
put it through the back , VERB PRON ADP DET ADV
then they could not see , ADV PRON VERB ADV VERB
this is hard to do , DET VERB ADJ PRT VERB
now it is night time , ADV PRON VERB NOUN NOUN
maybe you could cut some things from it , ADV PRON VERB VERB DET NOUN ADP PRON
because it is stuck through the paper , ADP PRON VERB VERB ADP DET NOUN
he is in the first grade , PRON VERB ADP DET ADJ NOUN
you paid me enough money , PRON VERB PRON ADJ NOUN
ursula is ursula , NOUN VERB NOUN
here adam here is yours , ADV NOUN ADV VERB PRON
i guess something is disturbing him , PRON VERB NOUN VERB VERB PRON
they have_to go back , PRON ADV VERB ADV
first they go for a boat ride , ADV PRON VERB ADP DET NOUN VERB
you are welcome , PRON VERB ADJ
this is a pill box , DET VERB DET NOUN NOUN
it is a country , PRON VERB DET NOUN
here are the boats , ADV VERB DET NOUN
you did not ask her about those , PRON VERB ADV VERB PRON ADP DET
i think she has an interesting story to tell about those , PRON VERB PRON VERB DET ADJ NOUN PRT VERB ADP DET
let us take one piece to start with , VERB PRON VERB NUM NOUN PRT VERB ADP
it will dry very quickly if you just leave it there , PRON VERB ADJ ADV ADV ADP PRON ADV VERB PRON PRT
that is the nose , PRON VERB DET NOUN
careful do not hurt paul , ADJ VERB ADV VERB NOUN
that is enough , PRON VERB ADV
i do not know , PRON VERB ADV VERB
i got it in the store like that , PRON VERB PRON ADP DET NOUN ADP DET
it is long and thin , PRON VERB ADJ CONJ ADJ
the country called italy is shaped like that , DET NOUN VERB NOUN VERB VERB ADP DET
adam wants to use it now , NOUN VERB PRT VERB PRON ADV
wait i do not feel like boxing , VERB PRON VERB ADV VERB ADP VERB
you must have a big tummy ache , PRON VERB VERB DET ADJ NOUN NOUN
there is one other thing , PRT VERB NUM ADJ NOUN
under your sweater , ADP DET NOUN
he needs both of the he says , PRON VERB DET ADP DET PRON VERB
it is many miles , PRON VERB ADJ NOUN
that is adam pocketbook , PRON VERB NOUN VERB
you read that one to me if you like , PRON VERB ADP NUM ADP PRON ADP PRON VERB
i do not want to eat my animals , PRON VERB ADV VERB PRT VERB DET NOUN
it does not help to cry , PRON VERB ADV VERB PRT VERB
it does not come off really , PRON VERB ADV VERB PRT ADV
the wheels might be up in here , DET NOUN VERB VERB PRT ADP ADV
we just pretend to get it off , PRON ADV VERB PRT VERB PRON PRT
you missed these , PRON VERB DET
it is just shaped like one , PRON VERB ADV VERB ADP NUM
close the door adam , ADV DET NOUN NOUN
they do not drop down until you are read to land , PRON VERB ADV VERB PRT ADP PRON VERB VERB ADP NOUN
you can use the scotch tape if you want adam , PRON VERB VERB DET NOUN NOUN ADP PRON VERB NOUN
that noise was a big truck outside , DET NOUN VERB DET ADJ NOUN ADP
you are going to serve us out here , PRON VERB VERB PRT VERB PRON PRT ADV
let us do it on top of the newspaper , VERB PRON VERB PRON ADP NOUN ADP DET NOUN
paul he says for you not to mess up my things , NOUN PRON VERB ADP PRON ADV PRT VERB PRT DET NOUN
that is the windshield wiper , PRON VERB DET NOUN NOUN
we have_to have scissors to cut it out , PRON ADV VERB NOUN PRT VERB PRON PRT
you make a hole for paul , PRON VERB DET NOUN ADP NOUN
remember to put de cover on , VERB PRT VERB ADJ NOUN ADP
let him have the car honey , VERB PRON VERB DET NOUN NOUN
any way you wish dear , DET NOUN PRON VERB ADJ
i think it is a rhinoceros , PRON VERB PRON VERB DET NOUN
because it get dry , ADP PRON VERB ADJ
that is very pretty , PRON VERB ADV ADJ
the other hand , DET ADJ NOUN
count the boys , VERB DET NOUN
ouch you hit my toe with that big power shovel , ADV PRON VERB DET NOUN ADP DET ADJ NOUN NOUN
you could give me a shot , PRON VERB VERB PRON DET NOUN
i did not do that , PRON VERB ADV VERB PRON
it is not a ball to throw , PRON VERB ADV DET NOUN PRT VERB
i do not think i had like either one thank_you , PRON VERB ADV VERB PRON VERB ADP DET NUM PRON
here is some medicine , ADV VERB DET NOUN
because i was afraid you were hurt , ADP PRON VERB ADJ PRON VERB VERB
i do not give money out in the store , PRON VERB ADV VERB NOUN PRT ADP DET NOUN
put the cover back on adam , VERB DET NOUN ADV ADP NOUN
let us use this one , VERB PRON VERB DET NUM
i just sell food , PRON ADV VERB NOUN
we need a circle just that size , PRON VERB DET NOUN ADV ADP NOUN
a circle just that size , DET NOUN ADV ADP NOUN
you put them in separate groups on the floor , PRON VERB PRON ADP ADJ NOUN ADP DET NOUN
he wants to play with you , PRON VERB PRT VERB ADP PRON
just like that , ADV ADP DET
it has a tip , PRON VERB DET NOUN
i will trim it just a bit , PRON VERB VERB PRON ADV DET NOUN
he is going to drill a hole for you , PRON VERB VERB PRT VERB DET NOUN ADP PRON
that is very nice , PRON VERB ADV ADJ
i thought you went to nursery school , PRON VERB PRON VERB ADP NOUN NOUN
i will sell it to you for fifty cents , PRON VERB VERB PRON ADP PRON ADP NUM NOUN
you look in there and i will look in here , PRON VERB ADP ADV CONJ PRON VERB VERB ADP ADV
i did not think dogs and bulls were such good friends , PRON VERB ADV VERB NOUN CONJ NOUN VERB ADJ ADJ NOUN
the tagalong man , DET ADJ NOUN
put the cover back on , VERB DET NOUN ADV ADP
you do not have_to have a dollar , PRON VERB ADV ADV VERB DET NOUN
maybe you had like to build with robin , ADV PRON VERB ADP PRT VERB ADP NOUN
that is the biggest round one , PRON VERB DET ADJ NOUN NUM
now adam let us start i cut this way , ADV NOUN VERB PRON VERB PRON VERB DET NOUN
i think something wrong with that , PRON VERB NOUN ADJ ADP DET
it does not seem to be making a hole , PRON VERB ADV VERB PRT VERB VERB DET NOUN
he does not know dogs and boys , PRON VERB ADV VERB NOUN CONJ NOUN
i thought you were looking for a scissors , PRON VERB PRON VERB VERB ADP DET NOUN
it shoots medicine , PRON VERB NOUN
it is in the bank , PRON VERB ADP DET NOUN
you turn this , PRON VERB DET
you are gon na pull a trick on me , PRON VERB NOUN NOUN VERB DET NOUN ADP PRON
i will hold this down , PRON VERB VERB DET PRT
thank_you very kindly adam that was very nice of you , PRON ADV ADJ NOUN PRON VERB ADV ADJ ADP PRON
let us sort them out , VERB PRON VERB PRON PRT
in the bank , ADP DET NOUN
you turn it , PRON VERB PRON
here is the ball , ADV VERB DET NOUN
i do not know exactly , PRON VERB ADV VERB ADV
hold my hand we are going to cross the street , VERB DET NOUN PRON VERB VERB PRT VERB DET NOUN
here is another one , ADV VERB DET NUM
i had some spaghetti like a corkscrew , PRON VERB DET NOUN ADP DET NOUN
