those are checkers , DET AUX NOUN
we will finish the bus , PRON AUX VERB DET NOUN
I do not know , PRON AUX PART VERB
I did not go anyplace , PRON AUX PART VERB NOUN
arts festival last year , NOUN NOUN ADJ NOUN
the ones in front are the same color , DET NOUN ADP NOUN AUX DET ADJ NOUN
you could make a pair of glasses , PRON AUX VERB DET NOUN ADP NOUN
there is not enough instructions for me , PRON AUX PART ADJ NOUN ADP PRON
that is another bronze , DET AUX DET NOUN
you can always take them apart and make something different , PRON AUX ADV VERB PRON ADV CCONJ VERB PRON ADJ
here is a book we could read , ADV AUX DET NOUN PRON AUX VERB
you are silly , PRON AUX ADJ
I think so , PRON VERB ADV
it says do it like this , PRON VERB VERB PRON ADP DET
that rhymes with it , DET VERB ADP PRON
he said winner , PRON VERB NOUN
and then you let it go like that , CCONJ ADV PRON VERB PRON VERB ADP DET
and the monkey , CCONJ DET NOUN
a toy house , DET NOUN NOUN
I wo not bite , PRON AUX PART VERB
she had like to see that one , PRON VERB INTJ PART VERB DET NUM
here is something I think you will like Adam , ADV AUX PRON PRON VERB PRON AUX VERB PROPN
let us not throw things , VERB PRON PART VERB NOUN
that is the way , DET AUX DET NOUN
they are building a fair , PRON AUX VERB DET ADJ
he is feeling better , PRON AUX VERB ADJ
I think you will like that , PRON VERB PRON AUX VERB DET
here is the parade , ADV AUX DET NOUN
maybe he is hungry , ADV PRON AUX ADJ
she is giving you one , PRON AUX VERB PRON NUM
I do not think so , PRON AUX PART VERB ADV
in a parade , ADP DET NOUN
they do not feel like snow , PRON AUX PART VERB ADP NOUN
let us see if we see the king , VERB PRON VERB SCONJ PRON VERB DET NOUN
part that goes across there , NOUN DET VERB ADV ADV
you got it in , PRON VERB PRON ADP
do not pull , AUX PART VERB
a bike has a back like that , DET NOUN VERB DET NOUN ADP DET
I am not , PRON AUX PART
you will break it , PRON AUX VERB PRON
I am sure I can not either , PRON AUX ADJ PRON AUX PART ADV
it is not snow , PRON AUX PART NOUN
there are lots_of other pieces around , PRON AUX ADJ ADJ NOUN ADP
it will dry out , PRON AUX VERB ADP
maybe he is already there , ADV PRON AUX ADV ADV
I do not want to look at Bozo , PRON AUX PART VERB PART VERB ADP PROPN
that is nice , DET AUX ADJ
do not do that , AUX PART VERB DET
go over there so you wo not jump on us , VERB ADV ADV SCONJ PRON AUX PART VERB ADP PRON
just paint your truck now , ADV VERB PRON NOUN ADV
I had like to watch the Friendly Giant , PRON VERB INTJ PART VERB DET PROPN PROPN
you just paint that , PRON ADV VERB DET
it looks like it is made out_of paper , PRON VERB ADP PRON AUX VERB PROPN NOUN
I guess that will still fly , PRON VERB DET AUX ADV VERB
it is a little misshapen circle , PRON AUX DET ADJ ADJ NOUN
the kangaroo house , DET NOUN NOUN
he is calling you , PRON AUX VERB PRON
put your pajamas the floor , VERB PRON NOUN DET NOUN
you were telling me about a movie that you saw , PRON AUX VERB PRON ADP DET NOUN DET PRON VERB
a little bit too big , DET ADJ NOUN ADV ADJ
let us take one , VERB PRON VERB NUM
I thought you said it was about somebody fighting something , PRON VERB PRON VERB PRON AUX ADP PRON VERB PRON
back up pilot , ADV ADP NOUN
you can make a watch , PRON AUX VERB DET NOUN
that is a very good idea , DET AUX DET ADV ADJ NOUN
some kind of fighter , DET NOUN ADP NOUN
that was not black , DET AUX PART ADJ
that was brown , DET AUX ADJ
Adam did you play hey_diddle_diddle , PROPN AUX PRON VERB VERB
now you do the rest , ADV PRON VERB DET NOUN
come on Diandra , VERB ADP PROPN
let us look in the basket , VERB PRON VERB ADP DET NOUN
I want xxx , PRON VERB PRON
you are in my chair , PRON AUX ADP PRON NOUN
I have some money , PRON VERB DET NOUN
we will take you out another day , PRON AUX VERB PRON ADP DET NOUN
you have_to drive slowly , PRON PROPN VERB ADV
you painted it , PRON VERB PRON
you are supposed to move , PRON AUX VERB PART VERB
he is got a whole bunch of packages in his pocket , PRON AUX VERB DET ADJ NOUN ADP NOUN ADP PRON NOUN
now you have_to put it down and let it dry , ADV PRON PROPN VERB PRON ADP CCONJ VERB PRON VERB
tall tall tower , ADJ ADJ NOUN
or else the bull will knock you down , CCONJ ADV DET NOUN AUX VERB PRON ADP
because you took the plug out I see , SCONJ PRON VERB DET NOUN ADP PRON VERB
maybe one end could go on the drawer , ADV NUM NOUN AUX VERB ADP DET NOUN
I will show it to you , PRON AUX VERB PRON ADP PRON
I do not think I need money thank_you , PRON AUX PART VERB PRON VERB NOUN PRON
it will fit , PRON AUX VERB
leave it in here Adam , VERB PRON ADP ADV PROPN
let us put this back first , VERB PRON VERB DET ADV ADV
say thank_you Adam , VERB PRON PROPN
she left it for me , PRON VERB PRON ADP PRON
and a bottle and some feathers , CCONJ DET NOUN CCONJ DET NOUN
Paul was trying to put that one in his shoe , PROPN AUX VERB PART VERB DET NUM ADP PRON NOUN
you leave it on there , PRON VERB PRON ADV ADV
you can tie it go ahead , PRON AUX VERB PRON VERB ADV
it is a statue of a lion , PRON AUX DET NOUN ADP DET NOUN
we are going to a birthday party , PRON AUX VERB ADP DET NOUN NOUN
it is not a clock really it is a compass , PRON AUX PART DET NOUN ADV PRON AUX DET NOUN
if you can not tie it maybe Robin can tie it , SCONJ PRON AUX PART VERB PRON ADV PROPN AUX VERB PRON
it is tucked inside there , PRON AUX VERB ADV ADV
it means that you like it and like to share it , PRON VERB SCONJ PRON VERB PRON CCONJ VERB PART VERB PRON
it is a driver license you want to see , PRON AUX DET NOUN NOUN PRON VERB PART VERB
it tells you directions , PRON VERB PRON NOUN
it has on numbers that tell you north east south and west , PRON VERB ADP NOUN DET VERB PRON NOUN NOUN NOUN CCONJ NOUN
that is a camera , DET AUX DET NOUN
Adam told you not to tear it up , PROPN VERB PRON PART PART VERB PRON ADP
going to make a tent and go to that birthday party , VERB PART VERB DET NOUN CCONJ VERB ADP DET NOUN NOUN
do not stand so close , AUX PART VERB ADV ADJ
and here is Alexander , CCONJ ADV AUX PROPN
I shared my book with you , PRON VERB PRON NOUN ADP PRON
pick the animals up and throw them in , VERB DET NOUN ADP CCONJ VERB PRON ADP
let us see , VERB PRON VERB
now maybe you could put a screw in that hole , ADV ADV PRON AUX VERB DET NOUN ADP DET NOUN
I do not know , PRON AUX PART VERB
they are going deep sea diving , PRON AUX VERB ADJ NOUN NOUN
Ursula brought it for Adam to play with , PROPN VERB PRON ADP PROPN PART VERB ADP
here is the other one , ADV AUX DET ADJ NOUN
you do not have a knight book , PRON AUX PART VERB DET NOUN NOUN
that is a stamp , DET AUX DET NOUN
especially airplanes because they do not have any roads to go on , ADV NOUN SCONJ PRON AUX PART VERB DET NOUN PART VERB ADP
there it is , ADV PRON AUX
until you wash it off , ADP PRON VERB PRON ADP
you are a silly , PRON AUX DET ADJ
they all put on diving suits , PRON DET VERB ADP NOUN NOUN
there is one over these , PRON AUX NUM ADP DET
this one going up to the top , DET NOUN VERB ADP ADP DET NOUN
look at it , VERB ADP PRON
your line is slipping down , PRON NOUN AUX VERB ADP
I was looking , PRON AUX VERB
they go and have little something , PRON VERB CCONJ VERB ADJ PRON
put them up there , VERB PRON ADV ADV
you have_to come back , PRON PROPN VERB ADV
it is a screw driver , PRON AUX DET ADJ NOUN
one dollars two dollars three four five , NUM VERB NUM NOUN NUM NUM NUM
Robin show him , PROPN VERB PRON
he can hold one , PRON AUX VERB NUM
wait boys let us not fight , VERB NOUN VERB PRON PART VERB
we have_to go one after another , PRON PROPN VERB NUM ADP DET
he wo not lose it , PRON AUX PART VERB PRON
put it in from the back , VERB PRON ADP ADP DET NOUN
I will throw that at you , PRON AUX VERB DET ADP PRON
you did not give me enough , PRON AUX PART VERB PRON ADJ
there is another one , PRON AUX DET NOUN
this is mine , DET AUX NOUN
I said five , PRON VERB NUM
here is some paper , ADV AUX DET NOUN
maybe you could both work on this one , ADV PRON AUX DET VERB ADP DET NOUN
they are watching a puppet show , PRON AUX VERB DET NOUN NOUN
here is a good pen , ADV AUX DET ADJ NOUN
these are puppets , DET AUX NOUN
because I do not know that much about fishing , SCONJ PRON AUX PART VERB SCONJ ADJ ADP VERB
it is good exercise for you , PRON AUX ADJ NOUN ADP PRON
these kangaroos are in there , DET NOUN AUX ADV ADV
this is a fix if you want yours in a particular place , DET AUX DET NOUN SCONJ PRON VERB NOUN ADP DET ADJ NOUN
here is another one , ADV AUX DET NOUN
you only gave me one dollar , PRON ADV VERB PRON NUM NOUN
that is a dragon , DET AUX DET NOUN
do not tear the paper , AUX PART VERB DET NOUN
his name is Leonard Lion , PRON NOUN AUX PROPN PROPN
you do not have any , PRON AUX PART VERB DET
the cat and the fiddle , DET NOUN CCONJ DET NOUN
I do not know , PRON AUX PART VERB
that was the last cranberry juice , DET AUX DET ADJ NOUN NOUN
you left your pocketbook , PRON VERB PRON NOUN
let him play with that , VERB PRON VERB ADP DET
I am not playing Indian , PRON AUX PART VERB PROPN
Ursula tore it , PROPN VERB PRON
you touch mine , PRON VERB PRON
there is one in your hand , PRON AUX NUM ADP PRON NOUN
you can really wear this , PRON AUX ADV VERB DET
in the forest , ADP DET NOUN
I am a nice guy , PRON AUX DET ADJ NOUN
I am a silly lady , PRON AUX DET ADJ NOUN
I did not buy any cranberries I bought some strawberries , PRON AUX PART VERB DET NOUN PRON VERB DET NOUN
put it through the back , VERB PRON ADP DET NOUN
then they could not see , ADV PRON AUX PART VERB
this is hard to do , DET AUX ADJ PART VERB
now it is night time , ADV PRON AUX NOUN NOUN
maybe you could cut some things from it , ADV PRON AUX VERB DET NOUN ADP PRON
because it is stuck through the paper , SCONJ PRON AUX VERB ADP DET NOUN
he is in the first grade , PRON AUX ADP DET ADJ NOUN
you paid me enough money , PRON VERB PRON ADJ NOUN
Ursula is Ursula , PROPN AUX PROPN
here Adam here is yours , ADV PROPN ADV AUX PRON
I guess something is disturbing him , PRON VERB PRON AUX VERB PRON
they have_to go back , PRON PROPN VERB ADV
first they go for a boat ride , ADV PRON VERB ADP DET NOUN NOUN
you are welcome , PRON AUX ADJ
this is a pill box , DET AUX DET NOUN NOUN
it is a country , PRON AUX DET NOUN
here are the boats , ADV AUX DET NOUN
you did not ask her about those , PRON AUX PART VERB PRON ADP DET
I think she has an interesting story to tell about those , PRON VERB PRON VERB DET ADJ NOUN PART VERB ADP DET
let us take one piece to start with , VERB PRON VERB NUM NOUN PART VERB ADP
it will dry very quickly if you just leave it there , PRON AUX VERB ADV ADV SCONJ PRON ADV VERB PRON ADV
that is the nose , DET AUX DET NOUN
careful do not hurt Paul , ADJ AUX PART VERB PROPN
that is enough , DET AUX ADJ
I do not know , PRON AUX PART VERB
I got it in the store like that , PRON VERB PRON ADP DET NOUN ADP DET
it is long and thin , PRON AUX ADJ CCONJ ADJ
the country called Italy is shaped like that , DET NOUN VERB PROPN AUX VERB ADP DET
Adam wants to use it now , PROPN VERB PART VERB PRON ADV
wait I do not feel like boxing , VERB PRON AUX PART VERB ADP VERB
you must have a big tummy ache , PRON AUX VERB DET ADJ NOUN NOUN
there is one other thing , PRON AUX NUM ADJ NOUN
under your sweater , ADP PRON NOUN
he needs both of the he says , PRON VERB DET ADP DET PRON VERB
it is many miles , PRON AUX ADJ NOUN
that is Adam pocketbook , DET AUX PROPN VERB
you read that one to me if you like , PRON VERB DET NUM ADP PRON SCONJ PRON VERB
I do not want to eat my animals , PRON AUX PART VERB PART VERB PRON NOUN
it does not help to cry , PRON AUX PART VERB PART VERB
it does not come off really , PRON AUX PART VERB ADP ADV
the wheels might be up in here , DET NOUN AUX VERB ADV ADV ADV
we just pretend to get it off , PRON ADV VERB PART VERB PRON ADP
you missed these , PRON VERB DET
it is just shaped like one , PRON AUX ADV VERB ADP NUM
close the door Adam , VERB DET NOUN PROPN
they do not drop down until you are read to land , PRON AUX PART VERB ADP ADP PRON AUX VERB ADP NOUN
you can use the Scotch tape if you want Adam , PRON AUX VERB DET PROPN NOUN SCONJ PRON VERB PROPN
that noise was a big truck outside , DET NOUN AUX DET ADJ NOUN ADV
you are going to serve us out here , PRON AUX VERB PART VERB PRON ADV ADV
let us do it on top of the newspaper , VERB PRON VERB PRON ADP NOUN ADP DET NOUN
Paul he says for you not to mess up my things , PROPN PRON VERB ADP PRON PART PART VERB ADP PRON NOUN
that is the windshield wiper , DET AUX DET NOUN NOUN
we have_to have scissors to cut it out , PRON PROPN VERB NOUN PART VERB PRON ADP
you make a hole for Paul , PRON VERB DET NOUN ADP PROPN
remember to put de cover on , VERB PART VERB X NOUN ADP
let him have the car honey , VERB PRON VERB DET NOUN NOUN
any way you wish dear , DET NOUN PRON VERB ADJ
I think it is a rhinoceros , PRON VERB PRON AUX DET NOUN
because it get dry , SCONJ PRON VERB ADJ
that is very pretty , DET AUX ADV ADV
the other hand , DET ADJ NOUN
count the boys , VERB DET NOUN
ouch you hit my toe with that big power shovel , INTJ PRON VERB PRON NOUN ADP DET ADJ NOUN NOUN
you could give me a shot , PRON AUX VERB PRON DET NOUN
I did not do that , PRON AUX PART VERB DET
it is not a ball to throw , PRON AUX PART DET NOUN PART VERB
I do not think I had like either one thank_you , PRON AUX PART VERB PRON VERB INTJ DET NOUN PRON
here is some medicine , ADV AUX DET NOUN
because I was afraid you were hurt , SCONJ PRON AUX ADJ PRON AUX VERB
I do not give money out in the store , PRON AUX PART VERB NOUN ADP ADP DET NOUN
put the cover back on Adam , VERB DET NOUN ADV ADP PROPN
let us use this one , VERB PRON VERB DET NOUN
I just sell food , PRON ADV VERB NOUN
we need a circle just that size , PRON VERB DET NOUN ADV DET NOUN
a circle just that size , DET NOUN ADV DET NOUN
you put them in separate groups on the floor , PRON VERB PRON ADP ADJ NOUN ADP DET NOUN
he wants to play with you , PRON VERB PART VERB ADP PRON
just like that , ADV ADP DET
it has a tip , PRON VERB DET NOUN
I will trim it just a bit , PRON AUX VERB PRON ADV DET NOUN
he is going to drill a hole for you , PRON AUX VERB PART VERB DET NOUN ADP PRON
that is very nice , DET AUX ADV ADJ
I thought you went to nursery school , PRON VERB PRON VERB ADP NOUN NOUN
I will sell it to you for fifty cents , PRON AUX VERB PRON ADP PRON ADP NUM NOUN
you look in there and I will look in here , PRON VERB ADV ADV CCONJ PRON AUX VERB ADP ADV
I did not think dogs and bulls were such good friends , PRON AUX PART VERB NOUN CCONJ NOUN AUX ADJ ADJ NOUN
the tagalong man , DET ADJ NOUN
put the cover back on , VERB DET NOUN ADV ADP
you do not have_to have a dollar , PRON AUX PART PROPN VERB DET NOUN
maybe you had like to build with Robin , ADV PRON VERB INTJ PART VERB ADP PROPN
that is the biggest round one , DET AUX DET ADJ ADJ NOUN
now Adam let us start I cut this way , ADV PROPN VERB PRON VERB PRON VERB DET NOUN
I think something wrong with that , PRON VERB PRON ADJ ADP DET
it does not seem to be making a hole , PRON AUX PART VERB PART AUX VERB DET NOUN
he does not know dogs and boys , PRON AUX PART VERB NOUN CCONJ NOUN
I thought you were looking for a scissors , PRON VERB PRON AUX VERB ADP DET NOUN
it shoots medicine , PRON VERB NOUN
it is in the bank , PRON AUX ADP DET NOUN
you turn this , PRON VERB DET
you are gonna pull a trick on me , PRON AUX VERB PART VERB DET NOUN ADP PRON
I will hold this down , PRON AUX VERB DET ADP
thank_you very kindly Adam that was very nice of you , PRON ADV ADV PROPN DET VERB ADV ADJ ADP PRON
let us sort them out , VERB PRON VERB PRON ADP
in the bank , ADP DET NOUN
you turn it , PRON VERB PRON
here is the ball , ADV AUX DET NOUN
I do not know exactly , PRON AUX PART VERB ADV
hold my hand we are going to cross the street , VERB PRON NOUN PRON AUX VERB PART VERB DET NOUN
here is another one , ADV AUX DET NOUN
I had some spaghetti like a corkscrew , PRON VERB DET NOUN ADP DET NOUN
you can turn it over and do a different one , PRON AUX VERB PRON ADP CCONJ VERB DET ADJ NUM
it sounds like you are scratching your floor , PRON VERB ADP PRON AUX VERB PRON NOUN
that is a very pretty umbrella , DET AUX DET ADV ADJ NOUN
and you have_to put it around her head , CCONJ PRON PROPN VERB PRON ADP PRON NOUN
it is hard , PRON AUX ADJ
lots_of different things , VERB ADJ NOUN
you have_to ask for it , PRON PROPN VERB ADP PRON
I will see if I can make the shape , PRON AUX VERB SCONJ PRON AUX VERB DET NOUN
remember Paul a dinosaur , VERB PROPN DET NOUN
not too fast , PART ADV ADJ
you can keep the board , PRON AUX VERB DET NOUN
that is got a_lot_of writing on it though , DET AUX VERB PROPN VERB ADP PRON ADV
I put mine away over here , PRON VERB PRON ADV ADV ADV
just blow very hard , ADV VERB ADV ADV
I had some like this , PRON VERB DET ADP DET
you can have this one , PRON AUX VERB DET NOUN
you are the big brother dinosaur , PRON AUX DET ADJ NOUN NOUN
I did not , PRON VERB PART
I did not know an umbrella had arms , PRON AUX PART VERB DET NOUN VERB NOUN
I think you could blow it Adam , PRON VERB PRON AUX VERB PRON PROPN
I think perhaps it might do better on the floor , PRON VERB ADV PRON AUX VERB ADV ADP DET NOUN
Diandra here is your book dear , PROPN ADV AUX PRON NOUN NOUN
your letter the one you wrote , PRON NOUN DET NOUN PRON VERB
I did not know that an umbrella had arms , PRON AUX PART VERB SCONJ DET NOUN VERB NOUN
see Robin can read , VERB PROPN AUX VERB
I thought you drew one for me , PRON VERB PRON VERB NUM ADP PRON
Paul has his , PROPN VERB PRON
each time you move it it gets a different design , DET NOUN PRON VERB PRON PRON VERB DET ADJ NOUN
here they are , ADV PRON AUX
I think he means old+fashioned , PRON VERB PRON VERB VERB
just like you blew up the duck , ADV ADP PRON VERB ADP DET NOUN
do not forget the cover Adam over under the chair , AUX PART VERB DET NOUN PROPN ADP ADP DET NOUN
I want xxx , PRON VERB PRON
she brought all the toys the other day , PRON VERB DET DET NOUN DET ADJ NOUN
here is the wing , ADV AUX DET NOUN
that is hard , DET AUX ADJ
there it is , ADV PRON AUX
Paul that was a very nice story , PROPN DET AUX DET ADV ADJ NOUN
is not that nice , AUX PART ADV ADJ
here is a star , ADV AUX DET NOUN
it will take time it has_to grow , PRON AUX VERB NOUN PRON AUX VERB
you said to put up my umbrella , PRON VERB PART VERB ADP PRON NOUN
you are stuck , PRON AUX ADJ
here Adam here is the cap , ADV PROPN ADV AUX DET NOUN
I just do not know about Rocky , PRON ADV AUX PART VERB ADP PROPN
you could fold it , PRON AUX VERB PRON
it might do something surprising , PRON AUX VERB PRON ADJ
Robin would you give him a few pieces of paper , PROPN AUX PRON VERB PRON DET ADJ NOUN ADP NOUN
it looks like an old+fashioned light bulb , PRON VERB ADP DET VERB NOUN VERB
smoking a peace pipe , VERB DET NOUN NOUN
that is my umbrella , DET AUX PRON NOUN
that is nice , DET AUX ADJ
Adam says he is your father , PROPN VERB PRON AUX PRON NOUN
you are going to give me a shot , PRON AUX VERB PART VERB PRON DET NOUN
Paul is still sleeping , PROPN AUX ADV VERB
he is making you an umbrella , PRON AUX VERB PRON DET NOUN
try to get the air down through the hole , VERB PART VERB DET NOUN ADP ADP DET NOUN
you read a story to the class now , PRON VERB DET NOUN ADP DET NOUN ADV
in_case you want to carry it with you , VERB PRON VERB PART VERB PRON ADP PRON
you blow and let me go get Paul and Diandra , PRON VERB CCONJ VERB PRON VERB VERB PROPN CCONJ PROPN
look in the mirror Adam , VERB ADP DET NOUN PROPN
that is my umbrella , DET AUX PRON NOUN
it is too tight , PRON AUX ADV ADJ
Adam says it is mine , PROPN VERB PRON AUX NOUN
it is mine , PRON AUX NOUN
I am going upstairs and check on Paul , PRON AUX VERB ADV CCONJ VERB ADP PROPN
it is a little bit too big , PRON AUX DET ADJ NOUN ADV ADJ
it is mine , PRON AUX NOUN
that was very close , DET AUX ADV ADJ
now it looks like a street light , ADV PRON VERB ADP DET NOUN NOUN
it is mine , PRON AUX NOUN
make it a tiny bit smaller , VERB PRON DET ADJ NOUN ADJ
I had it first , PRON VERB PRON ADV
you did not put the top back on the yellow , PRON AUX PART VERB DET NOUN ADV ADP DET ADJ
you almost did , PRON ADV VERB
Robin told you , PROPN VERB PRON
you can pour things through here into a small bottle , PRON AUX VERB NOUN ADP ADV ADP DET ADJ NOUN
a bean bean , DET NOUN NOUN
you just put it on there , PRON ADV VERB PRON ADP ADV
maybe you could hang it on the line , ADV PRON AUX VERB PRON ADP DET NOUN
you boys stop chasing each_other , PRON NOUN VERB VERB ADV
it looks like he is heading for the chair leg , PRON VERB ADP PRON AUX VERB ADP DET NOUN NOUN
let us make it a tiny bit smaller , VERB PRON VERB PRON DET ADJ NOUN ADJ
bigger than this room , ADJ SCONJ DET NOUN
that is not good for you , DET AUX PART ADJ ADP PRON
you hold this down , PRON VERB DET ADP
take a test , VERB DET NOUN
I know you wo not , PRON VERB PRON AUX PART
these are tea cakes , DET AUX NOUN NOUN
and you saw some toys of his , CCONJ PRON VERB DET NOUN ADP PRON
there is some over there on the floor , PRON AUX DET ADV ADV ADP DET NOUN
I am going to take a little air out_of mine , PRON AUX VERB PART VERB DET ADJ NOUN PROPN NOUN
you saw his tricycle , PRON VERB PRON NOUN
I will give him mine , PRON AUX VERB PRON NOUN
do not make him cry , AUX PART VERB PRON VERB
it looks like a big flower , PRON VERB ADP DET ADJ NOUN
Adam going to make you an umbrella , PROPN VERB PART VERB PRON DET NOUN
I do not think you had like for Rinny to bite you , PRON AUX PART VERB PRON VERB INTJ ADP PROPN PART VERB PRON
there is more tape , PRON AUX ADJ NOUN
that is not a real tea cake , DET AUX PART DET ADJ NOUN NOUN
try it again , VERB PRON ADV
because you gave me a hint , SCONJ PRON VERB PRON DET NOUN
use your finger , VERB PRON NOUN
I think you could , PRON VERB PRON AUX
here see if this fits your other finger , ADV VERB SCONJ DET VERB PRON ADJ NOUN
there were three , PRON AUX NUM
it is easier the second time , PRON AUX ADJ DET ADJ NOUN
not too fast , PART ADV ADJ
keep your mouth tight around the pipe , VERB PRON NOUN ADV ADP DET NOUN
wait here Adam I will get some for you dear , VERB ADV PROPN PRON AUX VERB DET ADP PRON ADJ
you need to go slower with it , PRON VERB PART VERB ADV ADP PRON
I am not used to sitting on the floor , PRON AUX PART VERB ADP VERB ADP DET NOUN
that is a good idea , DET AUX DET ADJ NOUN
this long stem , DET ADJ NOUN
Adam almost has your umbrella ready Diandra , PROPN ADV VERB PRON NOUN ADJ PROPN
if you say so , SCONJ PRON VERB ADV
and we have three children and two bikes , CCONJ PRON VERB NUM NOUN CCONJ NUM NOUN
maybe one day , ADV NUM NOUN
the driver sometimes is called the pilot , DET NOUN ADV AUX VERB DET NOUN
one of the Beatles , NUM ADP DET PROPN
you have a brother , PRON VERB DET NOUN
it is plastic , PRON AUX ADJ
that is his piece of paper and his pen , DET AUX PRON NOUN ADP NOUN CCONJ PRON NOUN
it is so hard , PRON AUX ADV ADJ
I can not see them , PRON AUX PART VERB PRON
David is eleven now , PROPN AUX NUM ADV
I think they get it inside of certain trees in South America , PRON VERB PRON VERB PRON ADV ADP ADJ NOUN ADP PROPN PROPN
I think so , PRON VERB ADV
I do not know , PRON AUX PART VERB
do not forget the top , AUX PART VERB DET NOUN
let us try it , VERB PRON VERB PRON
she lives so far away , PRON VERB ADV ADV ADV
it is a surprise , PRON AUX DET NOUN
here is my pen , ADV AUX PRON NOUN
this is my pen , DET AUX PRON NOUN
to make tires and balloons and rubber bands , PART VERB NOUN CCONJ NOUN CCONJ NOUN NOUN
fly on an airplane , VERB ADP DET NOUN
not too fast Adam because it does not work , PART ADV ADJ PROPN SCONJ PRON AUX PART VERB
I see the scissors , PRON VERB DET NOUN
we see Underdog , PRON VERB PROPN
you could play it with Robin , PRON AUX VERB PRON ADP PROPN
it is behind the crayons , PRON AUX ADP DET NOUN
it has_to drip through the funnel , PRON AUX NOUN ADP DET NOUN
my car is broken , PRON NOUN AUX VERB
I think so , PRON VERB ADV
I think that is enough for that bottle , PRON VERB DET AUX ADJ ADP DET NOUN
I think so , PRON VERB ADV
whatever you had like to play , DET PRON VERB INTJ PART VERB
I think that is the bottom of the pill box , PRON VERB DET AUX DET NOUN ADP DET NOUN NOUN
here is the red , ADV AUX DET ADJ
my car does not work anymore , PRON NOUN AUX PART VERB ADV
I will blast it off for you , PRON AUX VERB PRON ADP ADP PRON
I certainly do , PRON ADV VERB
because it is a pen that is writing , SCONJ PRON AUX DET NOUN DET AUX VERB
you just made that up , PRON ADV VERB DET ADP
it wo not start at all , PRON AUX PART VERB ADV ADV
the thing inside the tire is a compass , DET NOUN ADP DET NOUN AUX DET NOUN
I think so , PRON VERB ADV
is that the baby fish , AUX SCONJ DET NOUN NOUN
Diandra has the tape , PROPN VERB DET NOUN
that is a horse , DET AUX DET NOUN
those are made out_of metal , DET AUX VERB PROPN NOUN
that would be pretty , DET AUX VERB ADV
the lowest sound , DET ADJ NOUN
all the other ones should be higher than that , DET DET ADJ NOUN AUX VERB ADJ SCONJ DET
if you know someone in Italy , SCONJ PRON VERB PRON ADP PROPN
come on Paul , VERB ADP PROPN
hold the funnel up , VERB DET NOUN ADP
I could make one for every finger if you want , PRON AUX VERB NUM ADP DET NOUN SCONJ PRON VERB
xxx are made out_of wood , NUM AUX VERB ADJ NOUN
put it on , VERB PRON ADP
I have never seen him , PRON AUX ADV VERB PRON
he certainly is a sleepy little boy , PRON ADV AUX DET ADJ ADJ NOUN
metal comes from under the ground , NOUN VERB ADP ADP DET NOUN
under the ground , ADP DET NOUN
here we are at camp , ADV PRON AUX ADP NOUN
if you have a quarter you can change it into two dimes , SCONJ PRON VERB DET NOUN PRON AUX VERB PRON ADP NUM NOUN
just a minute , ADV DET NOUN
you have_to pin it on , PRON PROPN VERB PRON ADP
tomorrow would be fine , NOUN AUX VERB ADJ
I guess I made it too small , PRON VERB PRON VERB PRON ADV ADJ
I might not be able to get here that early , PRON AUX PART VERB ADJ PART VERB ADV SCONJ ADJ
you find shells in the bottom of the sea , PRON VERB NOUN ADP DET NOUN ADP DET NOUN
there are some holes , PRON AUX DET NOUN
that is very nice Adam , DET AUX ADV ADJ PROPN
for the sound , ADP DET NOUN
I had it first , PRON VERB PRON ADV
that is a beautiful bow , DET AUX DET ADJ NOUN
they draw on it , PRON VERB ADP PRON
maybe the hole is for the sound to come out , ADV DET NOUN AUX ADP DET NOUN PART VERB ADP
look at those colors , VERB ADP DET NOUN
close the door , VERB DET NOUN
here is your bow , ADV AUX PRON NOUN
paint on it , NOUN ADP PRON
that is five cents , DET AUX NUM NOUN
I am going to put this away , PRON AUX VERB PART VERB DET ADV
I thought you said you could read it , PRON VERB PRON VERB PRON AUX VERB PRON
I do not know , PRON AUX PART VERB
those are not cigarettes , DET AUX PART NOUN
you are cutting out to send to Italy , PRON AUX VERB ADP PART VERB ADP PROPN
and I used to come and visit you , CCONJ PRON VERB PART VERB CCONJ VERB PRON
you could wear a suit to cover you all up , PRON AUX VERB DET NOUN PART VERB PRON DET ADV
I do not know , PRON AUX PART VERB
I brought you that from Switzerland , PRON VERB PRON DET ADP PROPN
Adam move move Adam , PROPN NOUN VERB PROPN
they are just driving along , PRON AUX ADV VERB ADV
move from xxx , VERB ADP ADV
I think she heard someone coming in the door , PRON VERB PRON VERB PRON VERB ADP DET NOUN
to go under the water , PART VERB ADP DET NOUN
you can open it this way , PRON AUX VERB PRON DET NOUN
maybe we could do it on the table , ADV PRON AUX VERB PRON ADP DET NOUN
that is spray , DET AUX VERB
you told me about one last time , PRON VERB PRON ADP NUM ADJ NOUN
turn it around , VERB PRON ADV
I saw a movie about it , PRON VERB DET NOUN ADP PRON
I do not think she thought it was a tiger , PRON AUX PART VERB PRON VERB PRON AUX DET NOUN
take out one piece at a time , VERB ADP NUM NOUN ADP DET NOUN
pick the chair up , VERB DET NOUN ADP
they did not have enough air , PRON AUX PART VERB ADJ NOUN
that is a very funny thing , DET AUX DET ADV ADJ NOUN
so you can get a turtle in the middle , ADV PRON AUX VERB DET NOUN ADP DET NOUN
you could hang it from the ceiling , PRON AUX VERB PRON ADP DET NOUN
